"Parameter","Year","Age","ParamName","median","lCI","uCI"
"Psi[1, 2]",2005,"0","Psi",0,0,0
"Psi[1, 3]",2006,"0","Psi",0,0,0
"Psi[1, 4]",2007,"0","Psi",0,0,0
"Psi[1, 5]",2008,"0","Psi",0,0,0
"Psi[1, 6]",2009,"0","Psi",0,0,0
"Psi[1, 7]",2010,"0","Psi",0,0,0
"Psi[1, 8]",2011,"0","Psi",0,0,0
"Psi[1, 9]",2012,"0","Psi",0,0,0
"Psi[2, 10]",2013,"1","Psi",0.215738805009135,0.0977136566207266,0.393701261351174
"Psi[2, 11]",2014,"1","Psi",0.361552903873744,0.17901274760152,0.582507736107373
"Psi[2, 12]",2015,"1","Psi",0.544633470994188,0.34277370910136,0.72990493366814
"Psi[2, 13]",2016,"1","Psi",0.463080956796921,0.310777426017783,0.617050141067968
"Psi[2, 14]",2017,"1","Psi",0.380836215049391,0.20907758709191,0.595149083980728
"Psi[2, 15]",2018,"1","Psi",0.487672550219386,0.292509318261429,0.746827119829809
"Psi[2, 16]",2019,"1","Psi",0.625393194437839,0.396490767928576,0.86367486293867
"Psi[2, 17]",2020,"1","Psi",0.369613515342026,0.205106465774184,0.536832044229996
"Psi[2, 18]",2021,"1","Psi",0.343061312435994,0.191822486052088,0.527077676872851
"Psi[2, 19]",2022,"1","Psi",0.434869438637176,0.238516266423335,0.680121794607035
"Psi[2, 1]",2004,"1","Psi",0.484552839369549,0.18541143810196,0.809009070033981
"Psi[2, 20]",2023,"1","Psi",0.632403982366914,0.353700378932349,0.815123913441435
"Psi[2, 21]",2024,"1","Psi",0.384073231973983,0.14589790677869,0.618795030078928
"Psi[2, 2]",2005,"1","Psi",0.370710965080525,0.235613796491974,0.528744543828931
"Psi[2, 3]",2006,"1","Psi",0.530111370997276,0.368961248210739,0.710328812849603
"Psi[2, 4]",2007,"1","Psi",0.421120594991262,0.2139438731817,0.612621540151043
"Psi[2, 5]",2008,"1","Psi",0.629275732455815,0.466012884115815,0.795106444533403
"Psi[2, 6]",2009,"1","Psi",0.37951956452493,0.212166974628767,0.620149928232827
"Psi[2, 7]",2010,"1","Psi",0.381860306863589,0.21996982249354,0.572177690587776
"Psi[2, 8]",2011,"1","Psi",0.845831162016118,0.662529184786543,0.948670012899321
"Psi[2, 9]",2012,"1","Psi",0.739693153933299,0.582181914740849,0.875656781978918
"Psi[3, 10]",2013,"2","Psi",0.40762987209946,0.228273010303987,0.602523627998183
"Psi[3, 11]",2014,"2","Psi",0.585147159234408,0.362549739746716,0.776935496894755
